Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"LVDS_YP2","OffPage","02_CONNECTOR","2","ITR-201C_FB","R7.1","570","400","4C","3"
"LVDS_YP2","OffPage","03_LCD","3","ITR-201C_FB","R38.2,U2.15","100","250","5D","2"
"LVDS_YM2","OffPage","02_CONNECTOR","2","ITR-201C_FB","R5.1","570","390","4C","3"
"LVDS_YM2","OffPage","03_LCD","3","ITR-201C_FB","R38.1,U2.14","100","200","5D","2"
"LVDS_YM0","OffPage","02_CONNECTOR","2","ITR-201C_FB","R1.1","570","360","4C","3"
"LVDS_YM0","OffPage","03_LCD","3","ITR-201C_FB","R33.1,U2.8","100","70","5D","2"
"LVDS_YP0","OffPage","02_CONNECTOR","2","ITR-201C_FB","R3.1","570","370","4C","3"
"LVDS_YP0","OffPage","03_LCD","3","ITR-201C_FB","R33.2,U2.9","100","120","5D","2"
"TOUCH_XR","OffPage","02_CONNECTOR","2","ITR-201C_FB","R17.1","570","460","4C","3"
"TOUCH_XR","OffPage","03_LCD","3","ITR-201C_FB","J1.48","1320","660","1B","2"
"TOUCH_YD","OffPage","02_CONNECTOR","2","ITR-201C_FB","R19.1","570","470","4C","3"
"TOUCH_YD","OffPage","03_LCD","3","ITR-201C_FB","J1.49","1320","670","1B","2"
"TOUCH_XL","OffPage","02_CONNECTOR","2","ITR-201C_FB","R21.1","570","480","4C","3"
"TOUCH_XL","OffPage","03_LCD","3","ITR-201C_FB","J1.50","1320","680","1B","2"
"TOUCH_YU","OffPage","02_CONNECTOR","2","ITR-201C_FB","R23.1","570","490","4C","3"
"TOUCH_YU","OffPage","03_LCD","3","ITR-201C_FB","J1.51","1320","690","1B","2"
"LVDS_CLKM","OffPage","02_CONNECTOR","2","ITR-201C_FB","R6.2","1140","390","2C","3"
"LVDS_CLKM","OffPage","03_LCD","3","ITR-201C_FB","R41.1,U2.16","100","270","5D","2"
"LVDS_YP1","OffPage","02_CONNECTOR","2","ITR-201C_FB","R4.2","1140","370","2C","3"
"LVDS_YP1","OffPage","03_LCD","3","ITR-201C_FB","R37.2,U2.11","100","190","5D","2"
"LVDS_CLKP","OffPage","02_CONNECTOR","2","ITR-201C_FB","R8.2","1140","400","2C","3"
"LVDS_CLKP","OffPage","03_LCD","3","ITR-201C_FB","R41.2,U2.17","100","320","5C","2"
"LVDS_YM1","OffPage","02_CONNECTOR","2","ITR-201C_FB","R2.2","1140","360","2C","3"
"LVDS_YM1","OffPage","03_LCD","3","ITR-201C_FB","R37.1,U2.10","100","140","5D","2"
"IO_LED_COM","OffPage","02_CONNECTOR","2","ITR-201C_FB","R20.2","1140","470","2C","5"
"IO_LED_COM","OffPage","05_LED_OUT","5","ITR-201C_FB","R73.2,U6.13","240","180","5D","2"
"IO_LED_NET","OffPage","02_CONNECTOR","2","ITR-201C_FB","R18.2","1140","460","2C","5"
"IO_LED_NET","OffPage","05_LED_OUT","5","ITR-201C_FB","R72.2,U6.14","240","170","5D","2"
"IO_LED_RUN","OffPage","02_CONNECTOR","2","ITR-201C_FB","R10.2","1140","420","2C","5"
"IO_LED_RUN","OffPage","05_LED_OUT","5","ITR-201C_FB","R68.2,U6.18","240","130","5D","2"
"IO_LED_ERR","OffPage","02_CONNECTOR","2","ITR-201C_FB","R16.2","1140","450","2C","5"
