Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"RST_OUT_N","OffPage","08_ENET_PHY_KSZ8041FTLI","8","ITR-201C_MB","U6.47","500","340","4C","6"
"RST_OUT_N","OffPage","06_CPLD","6","ITR-201C_MB","C21.1,R27.2,U3.84","1200","520","2C","8"
"SD[7..0]","OffPage","05_EXT_BUS","5","ITR-201C_MB","","1110","380","2C","6"
"SD[7..0]","OffPage","06_CPLD","6","ITR-201C_MB","","220","490","5C","5"
"SA[7..0]","OffPage","05_EXT_BUS","5","ITR-201C_MB","","1120","540","2C","6"
"SA[7..0]","OffPage","06_CPLD","6","ITR-201C_MB","","230","270","5D","5"
"GPMC_BA[7..0]","OffPage","03_CONNECTOR1","3","ITR-201C_MB","","290","730","5B","5"
"GPMC_BA[7..0]","OffPage","05_EXT_BUS","5","ITR-201C_MB","","500","540","4C","3"
"GPMC_WEn","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.31","270","330","5C","6"
"GPMC_WEn","OffPage","06_CPLD","6","ITR-201C_MB","U3.144","260","160","5D","3"
"LCD_DATA[15..0]","OffPage","03_CONNECTOR1","3","ITR-201C_MB","","290","140","5D","7"
"LCD_DATA[15..0]","OffPage","07_LVDS","7","ITR-201C_MB","","120","370","5C","3"
"GPMC_nCS2","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.34","1440","340","1C","6"
"GPMC_nCS2","OffPage","06_CPLD","6","ITR-201C_MB","U3.140","260","120","5D","3"
"LCD_VSYNC","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.26","1440","300","1C","7"
"LCD_VSYNC","OffPage","07_LVDS","7","ITR-201C_MB","RN9.2","180","640","5B","3"
"GPMC_AD[7..0]","OffPage","03_CONNECTOR1","3","ITR-201C_MB","","280","120","5D","5"
"GPMC_AD[7..0]","OffPage","05_EXT_BUS","5","ITR-201C_MB","","470","380","4C","3"
"IO_LED_NET","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U22.14","380","180","4D","6"
"IO_LED_NET","OffPage","06_CPLD","6","ITR-201C_MB","U3.104","1230","320","2C","14"
"IO_LED_FILTER_HEATER","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U22.16","380","160","4D","6"
